commentary_id	pages	lines	words	paratext	primary_text	commentary
Colonna1975	0	0	0	0	0	0
DeRomilly1976	0	0	0	0	0	0
Ferrari1974	0	0	0	0	0	0
Paduano1982	0	0	0	0	0	0
Untersteiner1934	0	0	0	0	0	0
Wecklein1894	0	0	0	0	0	0
bsb10234118	19	606	3836	870	1331	1133
cu31924087948174	0	0	0	0	0	0
lestragdiesdeso00tourgoog	0	0	0	0	0	0
sophoclesplaysa05campgoog	8	563	4210	742	420	2159
sophokle1v3soph	10	509	3567	1579	360	1491
